postalCode,lat,lon,locality,label,poi_id,types
35800,48.62391,-2.13682,Saint-Briac-sur-Mer,Visite guidée - La saga des Romanov,FMABRE035V529DJB,["EntertainmentAndEvent" "Visit"]
22100,48.4560222,-2.0376759,Dinan,Balades apéro accompagnées à vélo à la découverte de la Rance,FMABRE022V53Z3ZM,["EntertainmentAndEvent" "Visit"]
35730,48.5775,-2.06249,Pleurtuit,Forum - Habitat : Bien chez soi,FMABRE035V52CK2W,["EntertainmentAndEvent"]
22100,48.45293,-2.04009,Dinan,Exposition : 15 ans de photographies de concerts sur les scènes de Jazz du Grand Ouest,FMABRE022V541HAK,["EntertainmentAndEvent"]
22100,48.44016,-2.07273,Trélivan,Vide-greniers,FMABRE022V5400T8,["EntertainmentAndEvent"]
22490,48.52731,-2.0039,Plouër-sur-Rance,Théatre : Clytemnestre ou le crime,FMABRE022V543JIH,["EntertainmentAndEvent"]
35730,48.57973,-2.05882,Pleurtuit,JEP - Chants de marin,FMABRE035V52CKMJ,["EntertainmentAndEvent"]
22100,48.457322,-2.0378079,Lanvallay,Sortie nature - Fabrication de jouets buissonniers,FMABRE022V540X9C,["EntertainmentAndEvent"]
35400,48.6374247,-2.0193901,Saint-Malo,Les sorties voiles vespérales,FMABRE0351217863,["EntertainmentAndEvent"]
35800,48.6348494,-2.1059261,Saint-Lunaire,Projection - Fête de la glisse,FMABRE035V52CUGR,["EntertainmentAndEvent"]
22100,48.45666,-2.05324,Dinan,Jeudi Locos : Concert Bleu Petrole (Rock Contemporain français),FMABRE022V5458I8,["EntertainmentAndEvent"]
22100,48.4421,-2.0394,Dinan,Exposition Sculpture -Thomas Turner,FMABRE022V541FZE,["EntertainmentAndEvent"]
35800,48.6186,-2.13172,Saint-Briac-sur-Mer,Exposition – Jacques Charrier,FMABRE035V52B4BE,["EntertainmentAndEvent"]
22490,48.52731,-2.0039,Plouër-sur-Rance,Exposition : Carnets de Voyage et Aquarelles,FMABRE022V544CAQ,["EntertainmentAndEvent"]
35400,48.6509907,-2.0216731,Saint-Malo,Sortie nature : Au cœur des Grandes Marées,FMABRE035V51SD5O,["EntertainmentAndEvent" "Visit"]
