Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_geographiques_x,coordonnees_geographiques_y
22041,COATASCORN,22140,,COATASCORN,48.669567466,-3.255263649
22004,BEGARD,22140,TREZELAN,BEGARD,48.634782583,-3.291535083
22006,BERHET,22140,,BERHET,48.697506385,-3.30845977
22034,CAVAN,22140,,CAVAN,48.682154744,-3.352407327
22091,KERMOROC H,22140,,KERMOROC H,48.614871381,-3.20363397
22095,LANDEBAERON,22140,,LANDEBAERON,48.637650067,-3.204871813
22245,PLUZUNET,22140,,PLUZUNET,48.636741845,-3.37148292
22340,TONQUEDEC,22140,,TONQUEDEC,48.6758572,-3.400382454
22004,BEGARD,22140,BOTLEZAN,BEGARD,48.634782583,-3.291535083
22004,BEGARD,22140,,BEGARD,48.634782583,-3.291535083
22004,BEGARD,22140,GUENEZAN,BEGARD,48.634782583,-3.291535083
22018,BRELIDY,22140,,BRELIDY,48.64928975,-3.227795453
22254,PRAT,22140,,PRAT,48.682032486,-3.298021229
22310,ST LAURENT,22140,,ST LAURENT,48.615843029,-3.242977938
22265,ROSPEZ,22300,,ROSPEZ,48.735707442,-3.386852444
22319,ST MICHEL EN GREVE,22300,,ST MICHEL EN GREVE,48.674343414,-3.55664739
22110,LANMERIN,22300,,LANMERIN,48.739896973,-3.357535431
22224,PLOULEC H,22300,LE YAUDET,PLOULEC H,48.71803918,-3.500180988
22226,PLOUMILLIAU,22300,,PLOUMILLIAU,48.683792046,-3.513471005
22113,LANNION,22300,,LANNION,48.743719598,-3.46130389
22211,PLOUBEZRE,22300,,PLOUBEZRE,48.685542393,-3.448411567
22349,TREDREZ LOCQUEMEAU,22300,LOCQUEMEAU,TREDREZ LOCQUEMEAU,48.70786489,-3.563569387
22113,LANNION,22300,BEG LEGUER SERVEL,LANNION,48.743719598,-3.46130389
22349,TREDREZ LOCQUEMEAU,22300,,TREDREZ LOCQUEMEAU,48.70786489,-3.563569387
22030,CAOUENNEC LANVEZEAC,22300,,CAOUENNEC LANVEZEAC,48.705893906,-3.367553771
22030,CAOUENNEC LANVEZEAC,22300,LANVEZEAC,CAOUENNEC LANVEZEAC,48.705893906,-3.367553771
22224,PLOULEC H,22300,,PLOULEC H,48.71803918,-3.500180988
